"seed","config","train_acc","test_acc","marginal_R2","conditional_R2","converged"
1,"flat",NA,NA,NA,NA,FALSE
2,"flat",NA,NA,NA,NA,FALSE
3,"flat",NA,NA,NA,NA,FALSE
4,"flat",NA,NA,NA,NA,FALSE
5,"flat",NA,NA,NA,NA,FALSE
6,"flat",NA,NA,NA,NA,FALSE
7,"flat",NA,NA,NA,NA,FALSE
8,"flat",NA,NA,NA,NA,FALSE
9,"flat",NA,NA,NA,NA,FALSE
10,"flat",NA,NA,NA,NA,FALSE
11,"flat",NA,NA,NA,NA,FALSE
12,"flat",NA,NA,NA,NA,FALSE
13,"flat",NA,NA,NA,NA,FALSE
14,"flat",NA,NA,NA,NA,FALSE
15,"flat",NA,NA,NA,NA,FALSE
16,"flat",NA,NA,NA,NA,FALSE
17,"flat",NA,NA,NA,NA,FALSE
18,"flat",NA,NA,NA,NA,FALSE
19,"flat",NA,NA,NA,NA,FALSE
20,"flat",NA,NA,NA,NA,FALSE
21,"flat",NA,NA,NA,NA,FALSE
22,"flat",NA,NA,NA,NA,FALSE
23,"flat",NA,NA,NA,NA,FALSE
24,"flat",NA,NA,NA,NA,FALSE
25,"flat",NA,NA,NA,NA,FALSE
26,"flat",NA,NA,NA,NA,FALSE
27,"flat",NA,NA,NA,NA,FALSE
28,"flat",NA,NA,NA,NA,FALSE
29,"flat",NA,NA,NA,NA,FALSE
30,"flat",NA,NA,NA,NA,FALSE
31,"flat",NA,NA,NA,NA,FALSE
32,"flat",NA,NA,NA,NA,FALSE
33,"flat",NA,NA,NA,NA,FALSE
34,"flat",NA,NA,NA,NA,FALSE
35,"flat",NA,NA,NA,NA,FALSE
36,"flat",NA,NA,NA,NA,FALSE
37,"flat",NA,NA,NA,NA,FALSE
38,"flat",NA,NA,NA,NA,FALSE
39,"flat",NA,NA,NA,NA,FALSE
40,"flat",NA,NA,NA,NA,FALSE
41,"flat",NA,NA,NA,NA,FALSE
42,"flat",NA,NA,NA,NA,FALSE
43,"flat",NA,NA,NA,NA,FALSE
44,"flat",NA,NA,NA,NA,FALSE
45,"flat",NA,NA,NA,NA,FALSE
46,"flat",NA,NA,NA,NA,FALSE
47,"flat",NA,NA,NA,NA,FALSE
48,"flat",NA,NA,NA,NA,FALSE
49,"flat",NA,NA,NA,NA,FALSE
50,"flat",NA,NA,NA,NA,FALSE
1,"moderate",0.658333333333333,0.541666666666667,0.0918683203849486,0.180140739894968,TRUE
2,"moderate",0.654166666666667,0.533333333333333,0.120467393173947,0.194413644488576,TRUE
3,"moderate",0.720833333333333,0.45,0.264824180747775,0.293959284012333,TRUE
4,"moderate",0.664583333333333,0.608333333333333,0.080688255548331,0.222120712889208,TRUE
5,"moderate",0.641666666666667,0.55,0.0644946180367729,0.107684441358176,TRUE
6,"moderate",0.679166666666667,0.466666666666667,0.106322685000327,0.201988543486656,TRUE
7,"moderate",0.683333333333333,0.491666666666667,0.143981612101216,0.271606896537705,TRUE
8,"moderate",0.654166666666667,0.516666666666667,0.0943709208265223,0.151923844345229,TRUE
9,"moderate",0.69375,0.558333333333333,0.0921804357836263,0.237354271308498,TRUE
10,"moderate",0.654166666666667,0.466666666666667,0.123154580912935,0.187590950003115,TRUE
11,"moderate",0.685416666666667,0.525,0.102463701147479,0.191501298069292,TRUE
12,"moderate",0.69375,0.508333333333333,0.104674824893421,0.263179898572592,TRUE
13,"moderate",0.65,0.541666666666667,0.0907859078146922,0.149333387876899,TRUE
14,"moderate",0.672916666666667,0.533333333333333,0.185116540323995,0.267667079454635,TRUE
15,"moderate",0.666666666666667,0.616666666666667,0.110898087939206,0.15634829105484,TRUE
16,"moderate",0.66875,0.608333333333333,0.100934778498939,0.188665015320565,TRUE
17,"moderate",0.6625,0.55,0.0772960635535209,0.210909718591157,TRUE
18,"moderate",0.710416666666667,0.558333333333333,0.123092865026929,0.334501824705869,TRUE
19,"moderate",0.670833333333333,0.55,0.102482362750124,0.204615412789538,TRUE
20,"moderate",0.654166666666667,0.55,0.0916869891542493,0.20137166864512,TRUE
21,"moderate",0.65625,0.675,0.077371331139164,0.126911656511081,TRUE
22,"moderate",0.654166666666667,0.533333333333333,0.10533989289672,0.192349913364637,TRUE
